City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Constitucion,CL,61.05,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
4,Albany,US,62.6,scattered clouds,42.6001,-73.9662,
5,Rikitea,PF,77.16,overcast clouds,-23.1203,-134.9692,Pension Maro'i
6,Camacha,PT,68.0,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
7,Puerto Ayora,EC,77.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Esna,EG,93.2,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
13,Carballo,ES,64.99,overcast clouds,43.213,-8.691,Pazo do Souto
15,Acapulco,MX,80.6,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
16,Castro,BR,75.51,clear sky,-24.7911,-50.0119,CHACARA BAILLY
17,Palmer,US,62.01,scattered clouds,42.1584,-72.3287,Wedgewood Motel
24,Baherden,TM,81.82,broken clouds,38.4362,57.4316,
25,East London,ZA,71.6,few clouds,-33.0153,27.9116,Tu Casa
26,Pocoes,BR,78.06,broken clouds,-14.5297,-40.3653,Poções Palace Hotel
27,Camopi,GF,70.99,overcast clouds,3.1655,-52.3158,
28,Jamestown,US,63.0,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
30,Jalu,LY,76.95,clear sky,29.0331,21.5482,صاحبة الفخامة
32,Camargo,MX,74.12,clear sky,27.6667,-105.1667,Hotel Santa Fe
35,Merauke,ID,78.76,overcast clouds,-8.4667,140.3333,PC
38,Bredasdorp,ZA,77.0,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
39,Ribeira Grande,PT,62.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
40,Voh,NC,74.28,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
42,Cape Town,ZA,73.99,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
43,Gorontalo,ID,76.35,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
46,Antofagasta,CL,73.0,broken clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
47,San Patricio,US,78.01,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
53,Samarai,PG,79.27,overcast clouds,-10.6167,150.6667,Nuli Sapi
54,Cintalapa,MX,81.88,clear sky,16.6951,-93.7272,Casa Blanca Hotel Hacienda
55,Port Alfred,ZA,69.28,few clouds,-33.5906,26.891,The Halyards Hotel
58,Faya,SA,77.0,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
59,Bucerias,MX,77.0,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
61,Ormara,PK,80.65,few clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
62,Kariba,ZW,79.57,clear sky,-16.5167,28.8,Caribbea Bay Hotel
63,Luba,GQ,87.8,light rain,3.4568,8.5547,
64,Arraial Do Cabo,BR,82.4,few clouds,-22.9661,-42.0278,Pousada Porto Praia
66,Avera,US,71.6,overcast clouds,33.194,-82.5271,
71,Marawi,PH,78.01,overcast clouds,7.9986,124.2928,Derogongan Residence
74,Port Elizabeth,ZA,64.4,few clouds,-33.918,25.5701,39 On Nile Guest House
76,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
78,Berbera,SO,84.27,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
79,Kapaa,US,68.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
80,Gbarnga,LR,93.0,overcast clouds,6.9956,-9.4722,Passion Hotel 2
81,Hermanus,ZA,73.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
82,Ariquemes,BR,79.21,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
83,Chuy,UY,73.83,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
85,Bitung,ID,75.2,scattered clouds,1.4451,125.1824,K2 Lembeh
87,Matias Romero,MX,83.08,broken clouds,16.8833,-95.0333,Casa Don Gustavo
89,Jibuti,DJ,84.2,clear sky,11.5,42.5,Orchid Main Camp Goubet
90,Atuona,PF,80.53,few clouds,-9.8,-139.0333,Villa Enata
91,Vallenar,CL,76.68,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
92,Avarua,CK,75.2,broken clouds,-21.2078,-159.775,Paradise Inn
93,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
96,Saldanha,ZA,77.0,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
97,Feijo,BR,79.88,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
98,Saint-Philippe,RE,82.4,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
99,Geraldton,AU,82.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
100,Hithadhoo,MV,83.39,clear sky,-0.6,73.0833,Scoop Guest House
101,Faanui,PF,81.34,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Yabelo,ET,77.41,broken clouds,4.8833,38.0833,Asnakech W/michael
103,Ganganagar,IN,81.34,clear sky,29.9167,73.8833,SPOT ON 72525 Govind Guest House
104,Kaabong,UG,77.94,broken clouds,3.4836,34.1492,Rock Motel Ltd
108,Ishigaki,JP,72.18,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
109,Luanda,AO,84.2,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
113,Hilo,US,66.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
114,Ponta Do Sol,PT,69.01,scattered clouds,32.6667,-17.1,Hotel do Campo
117,Labrea,BR,85.84,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
122,Portales,US,69.01,clear sky,34.1862,-103.3344,Holiday Inn Express & Suites Portales
128,Thoen,TH,84.99,light rain,17.6129,99.2161,Nakornthoen Hotel
129,Durango,MX,66.99,clear sky,24.8333,-104.8333,
136,Cabedelo,BR,86.0,broken clouds,-6.9811,-34.8339,Hotel Pigalle
142,Sinnamary,GF,74.41,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
144,Alice Springs,AU,62.6,few clouds,-23.7,133.8833,Desert Palms Alice Springs
145,Grand-Santi,GF,77.63,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
147,Gwadar,PK,79.83,clear sky,25.1216,62.3254,Sadaf Resort
148,Bambous Virieux,MU,78.01,light rain,-20.3428,57.7575,Casa Tia Villa
154,Lekoni,GA,83.7,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
158,Shelui,TZ,76.37,light rain,-4.3667,34.2,
165,La Ferte-Bernard,FR,64.99,broken clouds,48.1863,0.6536,Brit Hotel La Ferté-Bernard
166,Havelock,US,75.99,few clouds,34.8791,-76.9013,Sherwood Motel
167,Marzuq,YE,77.38,clear sky,14.4,46.4667,
171,Ellisras,ZA,88.68,few clouds,-23.6649,27.7443,Lapa le le guesthouse
172,Monteagudo,BO,77.0,broken clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
174,Cayenne,GF,77.0,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
175,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
179,Bengkulu,ID,77.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
181,Tucano,BR,90.12,broken clouds,-10.9631,-38.7867,Pousada Pé De Arruda
183,Pahrump,US,64.0,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
184,Itoman,JP,71.6,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
185,Kasungu,MW,69.21,overcast clouds,-13.0333,33.4833,Mame Motel
188,Hualmay,PE,71.53,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
189,Namibe,AO,87.8,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
191,Amapa,BR,75.2,overcast clouds,1.0,-52.0,
193,Sao Miguel Do Araguaia,BR,72.84,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
194,Lata,PT,66.0,light rain,40.1629,-8.3327,Casa Maquia
197,Sigli,ID,81.19,light rain,5.3848,95.9609,Losmen Dua Mali
199,Manokwari,ID,79.83,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
200,Vao,NC,77.58,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
202,Viedma,AR,70.92,clear sky,-40.8135,-62.9967,Hotel Cristal
203,Sao Filipe,CV,77.76,clear sky,14.8961,-24.4956,Tortuga B&B
205,Garissa,KE,93.47,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
207,Tocopilla,CL,70.9,overcast clouds,-22.092,-70.1979,Hotel Galvarino
209,Christchurch,NZ,62.01,overcast clouds,-43.5333,172.6333,The George
210,Plettenberg Bay,ZA,66.25,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
212,Cidreira,BR,79.93,clear sky,-30.1811,-50.2056,Hotel Castelo
214,Plymouth,US,62.01,clear sky,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
216,Jutai,BR,84.88,overcast clouds,-5.1833,-68.9,
217,Kieta,PG,79.03,light rain,-6.2167,155.6333,Uruna Bay Retreat
220,Guerrero Negro,MX,62.35,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
228,Sorong,ID,79.9,overcast clouds,-0.8833,131.25,waigo splash hotel
229,Kampar,MY,84.0,few clouds,4.3,101.15,Grand Kampar Hotel
230,Vila Franca Do Campo,PT,62.6,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
232,Ahipara,NZ,66.33,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
234,San Luis,AR,61.14,overcast clouds,-33.295,-66.3356,Huarpes Hotel
237,Saint-Pierre,RE,82.4,light rain,-21.3393,55.4781,Lindsey Hôtel
240,Monrovia,LR,93.2,broken clouds,6.3005,-10.7969,Sunset Inn
241,Komsomolskiy,UZ,68.0,clear sky,40.4272,71.7189,Ikathouse
242,Luganville,VU,77.31,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
245,Lethem,GY,76.62,overcast clouds,3.3803,-59.7968,Savannah Inn
251,Abilene,US,77.0,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
252,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
254,Ambon,ID,77.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
256,Mul,IN,90.23,overcast clouds,20.0667,79.6667,Taj Mahal
257,Poum,NC,78.66,overcast clouds,-20.2333,164.0167,Gîte kajeon
258,Mimongo,GA,84.67,light rain,-1.6195,11.6068,
259,Bloomfield,US,60.01,clear sky,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
260,La Cruz,MX,72.0,clear sky,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
261,Ternate,ID,81.61,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
262,Tsiroanomandidy,MG,70.54,light rain,-18.7667,46.0333,
264,Micomeseng,GQ,77.65,light rain,2.1462,10.6164,
265,Carnarvon,AU,78.8,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
267,Praxedis Guerrero,MX,73.0,few clouds,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
269,Tual,ID,83.28,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
270,Acarau,BR,86.38,broken clouds,-2.8856,-40.12,castelo pizzaria
271,Touros,BR,87.8,light rain,-5.1989,-35.4608,INN NEW HORIZON
272,Aswan,EG,92.43,scattered clouds,24.0934,32.907,Nuba Nile
273,Kutum,SD,89.92,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
276,Sechura,PE,75.79,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
277,Alofi,NU,73.4,broken clouds,-19.0595,-169.9187,Taloa Heights
278,Edd,ER,92.57,clear sky,13.9297,41.6925,
279,Pakala,IN,87.8,few clouds,13.4667,79.1167,TELUGU TALLI OLD AGE HOME
281,Alta Floresta,BR,86.0,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
284,Ambilobe,MG,77.22,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
285,Biak,ID,76.82,overcast clouds,-0.9131,122.8766,Penginapan Kim
287,Port Hedland,AU,86.0,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
288,Sapa,PH,80.69,overcast clouds,5.1544,120.3241,
289,Victoria,HK,71.01,broken clouds,22.2855,114.1577,Mini Hotel Central
291,Kahului,US,66.2,clear sky,20.8947,-156.47,Maui Seaside Hotel
294,Bowen,AU,73.4,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
295,Mayumba,GA,82.67,light rain,-3.432,10.6554,LIKWALE LODGE
296,Vanimo,PG,79.86,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
297,Katubao,PH,80.24,broken clouds,5.8892,124.8294,IML Ecopark
298,Mizdah,LY,64.42,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
299,Hobyo,SO,83.08,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
300,Kavieng,PG,82.31,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
303,Padang,ID,78.8,moderate rain,-0.9492,100.3543,Mercure Padang
308,Mantua,IT,64.0,overcast clouds,45.1667,10.7833,Hotel la Favorita
309,Yanam,IN,84.2,few clouds,16.7333,82.2167,The Regency Hotel
312,Olinda,BR,84.2,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
317,Flinders,AU,62.01,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
319,Warangal,IN,87.19,scattered clouds,18.0,79.5833,OYO 46557 Hotel Dolphin
321,Pisco,PE,71.6,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
323,Kavaratti,IN,83.16,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
324,Manjakandriana,MG,71.6,few clouds,-18.9167,47.8,Ampahikely Manjakandriana
325,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
326,Libertador General San Martin,AR,84.0,overcast clouds,-23.8064,-64.7876,Posada del Sol
328,Basco,PH,75.16,clear sky,20.4487,121.9702,Nathaniel's Lodge
334,Chateaubelair,VC,80.6,volcanic ash,13.2833,-61.25,Richmond Vale Diving & Hiking Center
339,Florianopolis,BR,80.01,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
341,Noumea,NC,79.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
343,Vila Velha,BR,82.4,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
344,Tsabong,BW,86.14,clear sky,-26.0217,22.401,Springbok Motel
347,Bandarbeyla,SO,80.15,clear sky,9.4942,50.8122,JABIR HOTEL
349,Sal Rei,CV,77.0,few clouds,16.1833,-22.9167,Marine Club Beach Resort
350,Micheweni,TZ,82.15,scattered clouds,-4.9667,39.8333,
351,Kruisfontein,ZA,71.01,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
352,Dhandhuka,IN,92.23,clear sky,22.3667,71.9833,Amin Auto
353,Pochutla,MX,84.99,clear sky,15.7432,-96.4661,Hotel Posada San Jose
360,Zaltan,LY,63.07,clear sky,32.946999999999996,11.8665,زلطن الشرقية
361,Hamilton,US,68.0,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
363,Montlucon,FR,66.99,overcast clouds,46.3333,2.6,Hotel De La Gare
365,Los Llanos De Aridane,ES,71.6,broken clouds,28.6585,-17.9182,Valle Aridane
367,Luau,AO,72.81,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
369,Mogadishu,SO,86.0,broken clouds,2.0371,45.3438,Olympic Hotel
373,Richards Bay,ZA,75.58,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
374,Brownwood,US,69.8,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
375,Takoradi,GH,85.82,light rain,4.8845,-1.7554,Raybow International Hotel
376,Kismayo,SO,83.37,light rain,-0.3582,42.5454,Agan-Hotel
378,Calvinia,ZA,84.29,overcast clouds,-31.4707,19.776,Die Lemoenhuis
